Endpoint                             Methods    Rule
-----------------------------------  ---------  -----------------------------------------------------
auth.api_check_username              POST       /auth/api/check_username
auth.api_login                       GET, POST  /auth/api/login
auth.check_email                     GET        /auth/check-email
auth.complete_registration           GET, POST  /auth/complete-registration
auth.get_user_id                     GET        /auth/api/get_user_id
auth.google_authorize                GET        /auth/google/callback
auth.google_login                    GET        /auth/google
auth.login                           GET, POST  /auth/login
auth.logout                          GET        /auth/logout
auth.register                        GET, POST  /auth/register
auth.verify_email                    GET        /auth/verify/<token>
chats.app_redirect                   GET        /app
chats.channel_detail                 GET        /channel/<int:channel_id>
chats.chat_detail                    GET        /chat/<int:chat_id>
chats.chat_list                      GET        /chat_list
chats.chat_list_api                  GET        /api/chat_list
chats.get_personal_messages          GET        /api/messages/<int:user_id>
chats.group_detail                   GET        /group/<int:group_id>
chats.index                          GET        /app_1
chats.kis_info                       GET        /kis_info
chats.mobile                         GET        /mobile
chats.premium_page                   GET        /premium
chats.user_profile                   GET        /@<username>
files.delete_file                    DELETE     /files/delete_file/<int:message_id>
files.serve_avatar                   GET        /uploads/avatars/<path:filename>
files.serve_file                     GET        /uploads/<path:filename>
files.upload_avatar                  POST       /files/upload_avatar
files.upload_file                    POST       /files/upload_file
files.upload_story                   POST       /files/upload_story
get_user_id                          GET        /api/get_user_id
index                                GET        /
logout                               GET        /logout
premium.admin_generate_promo         POST       /premium/admin/generate-promo
premium.admin_list_promos            GET        /premium/admin/promo-codes
premium.admin_toggle_promo           POST       /premium/admin/toggle-promo/<code>
premium.api_activate_premium         POST       /premium/api/activate
premium.api_cancel_premium           POST       /premium/api/cancel
premium.api_check_premium            GET        /premium/api/check/<int:user_id>
premium.api_create_bot               POST       /premium/api/bot/create
premium.api_delete_bot               DELETE     /premium/api/bot/<int:bot_id>
premium.api_get_features             GET        /premium/api/features
premium.api_get_stickers             GET        /premium/api/stickers
premium.api_list_bots                GET        /premium/api/bot/list
premium.api_regenerate_bot_token     POST       /premium/api/bot/<int:bot_id>/regenerate-token
premium.api_validate_promo           POST       /premium/api/validate-promo
premium.bot_get_updates              GET        /premium/api/bot/<token>/updates
premium.bot_send_message             POST       /premium/api/bot/<token>/send
premium.bot_test_connection          GET        /premium/api/bot/<token>/test
premium.premium_page                 GET        /premium/
premium.serve_sticker                GET        /premium/sticker/<filename>
premium.success_page                 GET        /premium/success
spa_calls.answer_call                POST       /api/calls/answer
spa_calls.create_room                POST       /api/video/create_room
spa_calls.end_call                   POST       /api/calls/end
spa_calls.end_room                   POST       /api/video/end/<room_id>
spa_calls.get_call_history           GET        /api/calls/history
spa_calls.join_room                  POST       /api/video/join/<room_id>
spa_calls.make_call                  POST       /api/calls/make
spa_channels.add_channel_admin       POST       /api/channels/<int:channel_id>/admins
spa_channels.create_channel          POST       /api/channels/create
spa_channels.delete_channel          POST       /api/channels/<int:channel_id>/delete
spa_channels.get_channel             GET        /api/channels/<int:channel_id>
spa_channels.get_channel_admins      GET        /api/channels/<int:channel_id>/admins
spa_channels.get_channel_messages    GET        /api/channel_messages/<int:channel_id>
spa_channels.remove_channel_admin    DELETE     /api/channels/<int:channel_id>/admins/<int:user_id>
spa_channels.send_channel_message    POST       /api/send_channel_message
spa_channels.subscribe_channel       POST       /api/channels/<int:channel_id>/subscribe
spa_channels.unsubscribe_channel     POST       /api/channels/<int:channel_id>/unsubscribe
spa_channels.update_channel          POST       /api/channels/<int:channel_id>/update
spa_contacts.add_contact             POST       /api/contacts
spa_contacts.block_user              POST       /api/block_user/<int:user_id>
spa_contacts.get_blocked_users       GET        /api/blocked_users
spa_contacts.get_contacts            GET        /api/contacts
spa_contacts.rename_contact          POST       /api/contacts/rename
spa_contacts.unblock_user            POST       /api/unblock_user/<int:user_id>
spa_favorites.add_favorite           POST       /api/favorites
spa_favorites.delete_favorite        DELETE     /api/favorites/<int:fav_id>
spa_favorites.get_favorites          GET        /api/favorites
spa_groups.create_group              POST       /api/groups/create
spa_groups.get_group                 GET        /api/groups/<int:group_id>
spa_groups.get_group_messages        GET        /api/group_messages/<int:group_id>
spa_groups.get_permissions           GET        /api/groups/<int:group_id>/permissions
spa_groups.join_group                GET        /api/join_group/<invite_link>
spa_groups.leave_group               POST       /api/leave_group/<int:group_id>
spa_groups.remove_member             DELETE     /api/groups/<int:group_id>/members/<int:user_id>
spa_groups.send_group_message        POST       /api/send_group_message
spa_groups.update_group              POST       /api/groups/<int:group_id>/update
spa_groups.update_member_role        POST       /api/groups/<int:group_id>/members/<int:user_id>/role
spa_groups.update_permissions        POST       /api/groups/<int:group_id>/permissions
spa_messages.add_reaction            POST       /api/reactions/add
spa_messages.clear_chat              POST       /api/clear_chat
spa_messages.delete_message          DELETE     /api/messages/<int:message_id>/delete
spa_messages.edit_message            POST       /api/messages/<int:message_id>/edit
spa_messages.forward_message         POST       /api/messages/forward
spa_messages.get_reactions           GET        /api/reactions/<int:message_id>
spa_messages.send_personal_message   POST       /api/send_message
spa_pins.get_pinned_chats            GET        /api/pinned_chats
